warehouse_code,region_code,id,delivery_date,product_id,name,step_unit,supplier_id,price,quantity
ALQ,BOG,12588417,2023-08-01,12156,Acelga Estándar - Atado,1.0,4341,550.0,243.0
ALQ,BOG,12640671,2023-08-07,12156,Acelga Estándar - Atado,1.0,4341,550.0,997.0
ALQ,BOG,12620624,2023-08-04,12156,Acelga Estándar - Atado,1.0,4341,550.0,380.0
ALQ,BOG,12598357,2023-08-02,12156,Acelga Estándar - Atado,1.0,4341,550.0,127.0
ALQ,BOG,12806335,2023-08-25,12156,Acelga Estándar - Atado,1.0,4341,500.0,334.0
ALQ,BOG,12127580,2023-06-13,12156,Acelga Estándar - Atado,1.0,4341,600.0,252.0
ALQ,BOG,12220768,2023-06-22,12156,Acelga Estándar - Atado,1.0,4341,600.0,252.0
ALQ,BOG,12765222,2023-08-21,12156,Acelga Estándar - Atado,1.0,4341,500.0,657.0
ALQ,BOG,12796815,2023-08-24,12156,Acelga Estándar - Atado,1.0,4341,600.0,229.0
ALQ,BOG,12841330,2023-08-29,12156,Acelga Estándar - Atado,1.0,4341,500.0,375.0
ALQ,BOG,12266364,2023-06-27,12156,Acelga Estándar - Atado,1.0,4341,600.0,209.0
ALQ,BOG,12504815,2023-07-22,12156,Acelga Estándar - Atado,1.0,4341,500.0,420.0
ALQ,BOG,12512279,2023-07-24,12156,Acelga Estándar - Atado,1.0,4341,500.0,512.0
ALQ,BOG,12577063,2023-07-31,12156,Acelga Estándar - Atado,1.0,4341,500.0,550.0
ALQ,BOG,12367745,2023-07-07,12156,Acelga Estándar - Atado,1.0,4341,600.0,302.0
ALQ,BOG,12460984,2023-07-18,12156,Acelga Estándar - Atado,1.0,4341,500.0,431.0
ALQ,BOG,12471877,2023-07-19,12156,Acelga Estándar - Atado,1.0,4341,550.0,103.0
ALQ,BOG,12493459,2023-07-21,12156,Acelga Estándar - Atado,1.0,4341,550.0,208.0
ALQ,BOG,12209435,2023-06-21,12156,Acelga Estándar - Atado,1.0,4341,600.0,118.0
ALQ,BOG,12430431,2023-07-14,12156,Acelga Estándar - Atado,1.0,4341,550.0,275.0
ALQ,BOG,12828836,2023-08-28,12156,Acelga Estándar - Atado,1.0,4341,500.0,541.0
ALQ,BOG,12386159,2023-07-10,12156,Acelga Estándar - Atado,1.0,4341,600.0,399.0
